vtd,OBJECTID,ID,EDRD_2012,obama,romney,carney,kovach,markell,cragg,gordon,blake,bullock,protack
vp1,6,2,01-01,732,51,639,43,697,35,624,84,619,82
vp15,7,3,01-02,1324,17,1055,15,1123,17,1068,26,1082,27
vp29,8,4,01-03,737,18,607,22,644,17,607,31,615,29
vp39,9,5,01-04,861,492,934,366,1064,264,681,586,753,500
vp55,10,6,01-05,1074,227,1016,179,1073,160,989,233,997,215
vp65,11,7,01-06,492,279,472,249,534,203,443,298,456,283
vp77,12,8,01-07,749,463,740,386,832,316,707,445,714,433
vp87,13,9,01-08,386,507,439,411,533,334,387,484,379,489
vp97,14,10,01-09,601,536,675,398,745,346,603,479,597,477
vp106,15,11,01-10,667,500,681,410,788,341,620,483,603,499
vp116,16,12,01-11,452,418,503,328,556,287,479,364,473,370
vp126,17,13,01-12,735,508,796,399,878,333,638,547,658,523
vp140,18,14,01-13,714,361,713,277,782,241,650,368,667,347
vp154,19,15,01-15,923,516,931,398,1026,325,889,464,870,477
vp164,20,16,01-16,801,270,778,194,822,191,741,260,738,256
vp174,21,17,01-17,536,153,511,116,550,105,498,152,507,143
vp185,22,18,01-18,1037,325,993,264,1052,232,945,339,946,327
vp195,23,19,01-19,730,392,776,278,846,246,726,344,693,376
vp207,1,20,01-21,312,288,338,229,396,189,271,299,278,279
vp218,2,21,01-22,575,562,613,452,751,360,485,604,484,602
vp230,3,22,01-23,151,53,145,34,152,28,129,49,134,52
vp239,4,23,01-24,861,394,855,309,918,267,807,390,788,407
vp249,5,24,01-25,546,182,556,142,591,113,434,257,504,191
vp257,45,25,01-26,700,380,703,312,774,262,611,404,623,389
vp266,46,26,01-27,1065,537,1093,415,1215,339,1009,516,997,528
vp2,47,27,02-01,1245,39,1077,38,1159,31,1057,69,1087,56
vp16,48,28,02-02,511,4,409,7,451,6,413,7,430,8
vp30,49,29,02-03,991,248,972,154,1016,146,879,267,886,256
vp40,50,30,02-04,511,655,617,515,767,375,402,699,460,642
vp56,51,31,02-05,526,174,504,136,545,111,496,158,475,164
vp66,52,32,02-06,662,583,638,573,844,378,591,613,598,599
vp78,53,33,02-07,814,590,851,480,976,375,693,630,722,584
vp88,54,34,02-08,896,508,876,432,1005,350,849,476,844,479
vp98,55,35,02-09,929,562,938,452,1056,362,859,523,864,526
vp107,56,36,02-10,594,422,625,339,703,282,518,446,528,436
vp117,57,37,02-11,699,368,696,290,769,251,673,335,674,333
vp127,58,38,02-12,587,387,578,350,681,272,501,439,533,402
vp141,59,39,02-13,493,249,494,188,547,150,466,238,462,226
vp155,60,40,02-15,958,589,954,462,1075,395,873,557,877,559
vp165,61,41,02-16,1056,74,940,59,994,54,942,82,961,75
vp175,62,42,02-17,1437,166,1321,131,1406,109,1313,172,1326,161
vp186,24,43,02-18,652,224,639,173,678,157,579,252,585,247
vp196,25,44,02-19,536,235,553,174,591,154,498,237,500,239
vp208,26,45,02-21,604,347,652,256,717,199,582,331,568,345
vp219,27,46,02-22,483,504,528,405,647,305,399,538,404,516
vp231,41,47,02-23,793,510,818,435,933,352,611,644,676,575
vp240,42,48,02-24,800,322,791,250,849,211,736,312,743,311
vp250,43,49,02-25,574,411,575,364,683,280,510,433,540,409
vp258,44,50,02-26,669,195,653,150,692,124,617,178,614,183
vp267,28,51,02-27,574,298,561,246,628,197,510,311,511,303
vp3,29,52,03-01,893,15,799,10,829,12,792,23,789,22
vp17,30,53,03-02,154,32,153,26,163,18,116,61,131,40
vp31,31,54,03-03,426,36,381,28,398,30,373,42,386,35
vp41,32,55,03-04,720,528,810,396,946,279,546,610,621,534
vp57,33,56,03-05,680,117,618,86,661,81,615,114,613,116
vp67,34,57,03-06,189,118,182,115,218,85,141,156,159,138
vp79,35,58,03-07,649,451,656,379,772,286,541,512,580,472
vp89,36,59,03-08,608,379,628,284,726,213,591,342,608,323
vp99,37,60,03-09,907,649,922,536,1079,428,862,613,857,611
vp108,38,61,03-10,571,463,599,393,684,330,469,520,475,505
vp118,39,62,03-11,446,665,536,503,579,485,499,573,506,571
vp128,40,63,03-12,545,355,574,284,666,210,501,358,502,359
vp142,72,64,03-13,277,37,258,21,269,24,251,32,247,37
vp156,73,65,03-15,849,351,814,298,889,263,779,356,806,338
vp166,74,66,03-16,1033,19,883,17,932,23,907,31,916,35
vp176,75,67,03-17,1004,234,970,177,1035,148,939,226,945,224
vp187,76,68,03-18,475,146,440,127,481,112,415,146,421,146
vp197,77,69,03-19,589,452,666,337,720,300,558,442,543,443
vp209,78,70,03-21,722,567,769,438,886,369,692,532,660,559
vp220,79,71,03-22,571,605,627,500,797,358,501,622,497,630
vp232,80,72,03-23,626,351,646,288,713,248,474,446,551,381
vp241,81,73,03-24,537,297,551,233,604,197,515,279,515,284
vp251,82,74,03-25,594,255,580,224,659,181,511,325,567,274
vp259,83,75,03-26,500,195,491,167,521,144,461,205,462,202
vp268,84,76,03-27,610,248,586,192,636,171,553,247,562,245
vp4,85,77,04-01,1161,34,995,37,1060,26,995,50,1027,39
vp18,86,78,04-02,58,32,62,28,66,23,50,42,51,35
vp32,87,79,04-03,893,25,711,23,758,27,698,45,707,39
vp42,88,80,04-04,435,143,394,103,444,89,343,155,372,132
vp58,89,81,04-05,845,84,762,71,799,64,759,90,761,90
vp68,90,82,04-06,578,316,565,290,665,204,496,368,550,322
vp80,91,83,04-07,987,386,956,311,1034,264,892,399,921,364
vp90,92,84,04-08,791,171,738,134,773,114,728,154,735,152
vp100,93,85,04-09,276,313,317,247,350,218,281,281,268,289
vp109,94,86,04-10,859,362,847,294,911,253,788,366,797,357
vp119,95,87,04-11,380,323,403,253,427,245,372,305,389,296
vp129,63,88,04-12,365,539,442,433,547,346,310,569,329,536
vp143,64,89,04-13,746,343,748,255,823,223,705,333,708,327
vp157,65,90,04-15,535,326,562,247,612,216,514,303,496,312
vp167,66,91,04-16,439,113,401,78,440,77,396,104,382,120
vp177,67,92,04-17,554,341,607,254,658,229,434,421,503,360
vp188,68,93,04-18,975,316,966,252,1027,208,870,346,882,323
vp198,69,94,04-19,688,409,718,314,783,283,664,389,631,421
vp210,70,95,04-21,694,410,707,338,810,267,609,451,623,433
vp221,71,96,04-22,517,637,602,501,725,402,442,663,423,679
