EDRD_2012,vtd,name,ward,RegisteredVoters_2014_08,DEM_2014_08,REP_2014_08,STG_2014_08,LIB_2014_08,OTH_2014_08,NP_2014_08,TotPop_2010,PctPopUnder18Years_2010,PctBlackNonHispBridge_2010,PctWhiteNonHispBridge_2010,PctHisp_2010,PctAsianPINonHispBridge_2010,PctPoorPersons_2007_11,PctUnemployed_2007_11,Pct25andOverWoutHS_2007_11,AvgFamilyIncAdj_2007_11,PctOwnerOccupiedHsgUnits_2007_11,DemPrimary14_Shallal,DemPrimary14_Evans,DemPrimary14_Bowser,DemPrimary14_Wells,DemPrimary14_Gray,DemPrimary14_Orange,DemPrimary10_Fenty
01-01,vp1,,,,,,,,,,1416,,,,,,,,,,,,,,,,,
01-02,vp15,,,,,,,,,,3570,,,,,,,,,,,,,,,,,
01-03,vp29,,,,,,,,,,2075,,,,,,,,,,,,,,,,,
01-04,vp39,,,,,,,,,,2059,,,,,,,,,,,,,,,,,
01-05,vp55,,,,,,,,,,3027,,,,,,,,,,,,,,,,,
01-06,vp65,,,,,,,,,,1622,,,,,,,,,,,,,,,,,
01-07,vp77,,,,,,,,,,2326,,,,,,,,,,,,,,,,,
01-08,vp87,,,,,,,,,,1631,,,,,,,,,,,,,,,,,
01-09,vp97,,,,,,,,,,2138,,,,,,,,,,,,,,,,,
01-10,vp106,,,,,,,,,,2166,,,,,,,,,,,,,,,,,
01-11,vp116,,,,,,,,,,1670,,,,,,,,,,,,,,,,,
01-12,vp126,,,,,,,,,,2217,,,,,,,,,,,,,,,,,
01-13,vp140,,,,,,,,,,2607,,,,,,,,,,,,,,,,,
01-15,vp154,,,,,,,,,,2990,,,,,,,,,,,,,,,,,
01-16,vp164,,,,,,,,,,2633,,,,,,,,,,,,,,,,,
01-17,vp174,,,,,,,,,,2356,,,,,,,,,,,,,,,,,
01-18,vp185,,,,,,,,,,3793,,,,,,,,,,,,,,,,,
01-19,vp195,,,,,,,,,,2114,,,,,,,,,,,,,,,,,
01-21,vp207,,,,,,,,,,1171,,,,,,,,,,,,,,,,,
01-22,vp218,,,,,,,,,,1755,,,,,,,,,,,,,,,,,
01-23,vp230,,,,,,,,,,1947,,,,,,,,,,,,,,,,,
01-24,vp239,,,,,,,,,,2828,,,,,,,,,,,,,,,,,
01-25,vp249,,,,,,,,,,7734,,,,,,,,,,,,,,,,,
01-26,vp257,,,,,,,,,,2443,,,,,,,,,,,,,,,,,
01-27,vp266,,,,,,,,,,3306,,,,,,,,,,,,,,,,,
02-01,vp2,,,,,,,,,,2244,,,,,,,,,,,,,,,,,
02-02,vp16,,,,,,,,,,1014,,,,,,,,,,,,,,,,,
02-03,vp30,,,,,,,,,,2648,,,,,,,,,,,,,,,,,
02-04,vp40,,,,,,,,,,1652,,,,,,,,,,,,,,,,,
02-05,vp56,,,,,,,,,,1519,,,,,,,,,,,,,,,,,
02-06,vp66,,,,,,,,,,2216,,,,,,,,,,,,,,,,,
02-07,vp78,,,,,,,,,,2373,,,,,,,,,,,,,,,,,
02-08,vp88,,,,,,,,,,3463,,,,,,,,,,,,,,,,,
02-09,vp98,,,,,,,,,,2624,,,,,,,,,,,,,,,,,
02-10,vp107,,,,,,,,,,2246,,,,,,,,,,,,,,,,,
02-11,vp117,,,,,,,,,,2963,,,,,,,,,,,,,,,,,
02-12,vp127,,,,,,,,,,1591,,,,,,,,,,,,,,,,,
02-13,vp141,,,,,,,,,,2058,,,,,,,,,,,,,,,,,
02-15,vp155,,,,,,,,,,2527,,,,,,,,,,,,,,,,,
02-16,vp165,,,,,,,,,,2877,,,,,,,,,,,,,,,,,
02-17,vp175,,,,,,,,,,3506,,,,,,,,,,,,,,,,,
02-18,vp186,,,,,,,,,,2783,,,,,,,,,,,,,,,,,
02-19,vp196,,,,,,,,,,1991,,,,,,,,,,,,,,,,,
02-21,vp208,,,,,,,,,,2013,,,,,,,,,,,,,,,,,
02-22,vp219,,,,,,,,,,1798,,,,,,,,,,,,,,,,,
02-23,vp231,,,,,,,,,,2336,,,,,,,,,,,,,,,,,
02-24,vp240,,,,,,,,,,2588,,,,,,,,,,,,,,,,,
02-25,vp250,,,,,,,,,,1686,,,,,,,,,,,,,,,,,
02-26,vp258,,,,,,,,,,2354,,,,,,,,,,,,,,,,,
02-27,vp267,,,,,,,,,,1838,,,,,,,,,,,,,,,,,
03-01,vp3,,,,,,,,,,2007,,,,,,,,,,,,,,,,,
03-02,vp17,,,,,,,,,,323,,,,,,,,,,,,,,,,,
03-03,vp31,,,,,,,,,,1128,,,,,,,,,,,,,,,,,
03-04,vp41,,,,,,,,,,1956,,,,,,,,,,,,,,,,,
03-05,vp57,,,,,,,,,,1999,,,,,,,,,,,,,,,,,
03-06,vp67,,,,,,,,,,511,,,,,,,,,,,,,,,,,
03-07,vp79,,,,,,,,,,1722,,,,,,,,,,,,,,,,,
03-08,vp89,,,,,,,,,,2199,,,,,,,,,,,,,,,,,
